P,Teff
2.8615070e-01,9.9042696e-01
2.9281600e-01,9.9021671e-01
2.9963650e-01,9.9000199e-01
3.0661600e-01,9.8978292e-01
3.1375800e-01,9.8955921e-01
3.2106630e-01,9.8933098e-01
3.2854490e-01,9.8909815e-01
3.3619770e-01,9.8886064e-01
3.4402880e-01,9.8861816e-01
3.5204220e-01,9.8837101e-01
3.6024230e-01,9.8811872e-01
3.6863350e-01,9.8786140e-01
3.7722000e-01,9.8759874e-01
3.8600660e-01,9.8733107e-01
3.9499790e-01,9.8705808e-01
4.0419850e-01,9.8677946e-01
4.1361350e-01,9.8649554e-01
4.2324780e-01,9.8620602e-01
4.3310650e-01,9.8591079e-01
4.4319490e-01,9.8560995e-01
4.5351820e-01,9.8530298e-01
4.6408200e-01,9.8499043e-01
4.7489190e-01,9.8467151e-01
4.8595350e-01,9.8434657e-01
4.9727290e-01,9.8401551e-01
5.0885580e-01,9.8367822e-01
5.2070860e-01,9.8333457e-01
5.3283750e-01,9.8298421e-01
5.4524880e-01,9.8262752e-01
5.5794930e-01,9.8226388e-01
5.7094560e-01,9.8189367e-01
5.8424470e-01,9.8151675e-01
5.9785350e-01,9.8113278e-01
6.1177930e-01,9.8074187e-01
6.2602940e-01,9.8034389e-01
6.4061150e-01,9.7993874e-01
6.5553330e-01,9.7952598e-01
6.7080260e-01,9.7910633e-01
6.8642760e-01,9.7867880e-01
7.0241660e-01,9.7824413e-01
7.1877800e-01,9.7780160e-01
7.3552040e-01,9.7735135e-01
7.5265290e-01,9.7689355e-01
7.7018450e-01,9.7642778e-01
7.8812440e-01,9.7595386e-01
8.0648210e-01,9.7547229e-01
8.2526750e-01,9.7498229e-01
8.4449050e-01,9.7448436e-01
8.6416120e-01,9.7397802e-01
8.8429010e-01,9.7346345e-01
9.0488780e-01,9.7294052e-01
9.2596540e-01,9.7240905e-01
9.4753390e-01,9.7186925e-01
9.6960480e-01,9.7132061e-01
9.9218980e-01,9.7076335e-01
1.0153010e+00,9.7019765e-01
1.0389500e+00,9.6962301e-01
1.0631510e+00,9.6903926e-01
1.0879140e+00,9.6844700e-01
1.1132550e+00,9.6784606e-01
1.1391860e+00,9.6723555e-01
1.1657210e+00,9.6661643e-01
1.1928740e+00,9.6598819e-01
1.2206600e+00,9.6535104e-01
1.2490930e+00,9.6470485e-01
1.2781880e+00,9.6404906e-01
1.3079610e+00,9.6338472e-01
1.3384270e+00,9.6271087e-01
1.3696030e+00,9.6202777e-01
1.4015050e+00,9.6133569e-01
1.4341510e+00,9.6063447e-01
1.4675560e+00,9.5992397e-01
1.5017400e+00,9.5920404e-01
1.5367200e+00,9.5847500e-01
1.5725150e+00,9.5773710e-01
1.6091430e+00,9.5698980e-01
1.6466250e+00,9.5623339e-01
1.6849800e+00,9.5546772e-01
1.7242280e+00,9.5469316e-01
1.7643910e+00,9.5390907e-01
1.8054890e+00,9.5311676e-01
1.8475440e+00,9.5231515e-01
1.8905790e+00,9.5150414e-01
1.9346160e+00,9.5068503e-01
1.9796790e+00,9.4985676e-01
2.0257920e+00,9.4901969e-01
2.0729780e+00,9.4817423e-01
2.1212640e+00,9.4731979e-01
2.1706750e+00,9.4645727e-01
2.2212360e+00,9.4558607e-01
2.2729750e+00,9.4470717e-01
2.3259200e+00,9.4381940e-01
2.3800980e+00,9.4292377e-01
2.4355370e+00,9.4202019e-01
2.4922680e+00,9.4110863e-01
2.5503200e+00,9.4018955e-01
2.6097250e+00,9.3926293e-01
2.6705130e+00,9.3832869e-01
2.7327180e+00,9.3738679e-01
2.7963710e+00,9.3643839e-01
2.8615070e+00,9.3548282e-01
2.9281600e+00,9.3452008e-01
2.9963650e+00,9.3355076e-01
3.0661600e+00,9.3257487e-01
3.1375800e+00,9.3159297e-01
3.2106630e+00,9.3060449e-01
3.2854490e+00,9.2961004e-01
3.3619770e+00,9.2860965e-01
3.4402880e+00,9.2760396e-01
3.5204220e+00,9.2659306e-01
3.6024230e+00,9.2557696e-01
3.6863350e+00,9.2455503e-01
3.7722000e+00,9.2352941e-01
3.8600660e+00,9.2249873e-01
3.9499790e+00,9.2146377e-01
4.0419850e+00,9.2042464e-01
4.1361350e+00,9.1938140e-01
4.2324780e+00,9.1833487e-01
4.3310650e+00,9.1728441e-01
4.4319490e+00,9.1623089e-01
4.5351820e+00,9.1517519e-01
4.6408200e+00,9.1411591e-01
4.7489190e+00,9.1305470e-01
4.8595350e+00,9.1199095e-01
4.9727290e+00,9.1092481e-01
5.0885580e+00,9.0985800e-01
5.2070860e+00,9.0878913e-01
5.3283750e+00,9.0771917e-01
5.4524880e+00,9.0664828e-01
5.5794930e+00,9.0557670e-01
5.7094560e+00,9.0450457e-01
5.8424470e+00,9.0343217e-01
5.9785350e+00,9.0236047e-01
6.1177930e+00,9.0128812e-01
6.2602940e+00,9.0021781e-01
6.4061150e+00,8.9914726e-01
6.5553330e+00,8.9807826e-01
6.7080260e+00,8.9701048e-01
6.8642760e+00,8.9594410e-01
7.0241660e+00,8.9488011e-01
7.1877800e+00,8.9381809e-01
7.3552040e+00,8.9275914e-01
7.5265290e+00,8.9170169e-01
7.7018450e+00,8.9064778e-01
7.8812440e+00,8.8959691e-01
8.0648210e+00,8.8854947e-01
8.2526750e+00,8.8750659e-01
8.4449050e+00,8.8646669e-01
8.6416120e+00,8.8543095e-01
8.8429010e+00,8.8439976e-01
9.0488780e+00,8.8337368e-01
9.2596540e+00,8.8235166e-01
9.4753390e+00,8.8133524e-01
9.6960480e+00,8.8032373e-01
9.9218980e+00,8.7931836e-01
1.0153010e+01,8.7831862e-01
1.0389500e+01,8.7732494e-01
1.0631510e+01,8.7633620e-01
1.0879140e+01,8.7535532e-01
1.1132550e+01,8.7438029e-01
1.1391860e+01,8.7341268e-01
1.1657210e+01,8.7245143e-01
1.1928740e+01,8.7149730e-01
1.2206600e+01,8.7055062e-01
1.2490930e+01,8.6961139e-01
1.2781880e+01,8.6868024e-01
1.3079610e+01,8.6775753e-01
1.3384270e+01,8.6684124e-01
1.3696030e+01,8.6593425e-01
1.4015050e+01,8.6503555e-01
1.4341510e+01,8.6414541e-01
1.4675560e+01,8.6326340e-01
1.5017400e+01,8.6239063e-01
1.5367200e+01,8.6152676e-01
1.5725150e+01,8.6067158e-01
1.6091430e+01,8.5982604e-01
1.6466250e+01,8.5898996e-01
1.6849800e+01,8.5816285e-01
1.7242280e+01,8.5734480e-01
1.7643910e+01,8.5653769e-01
1.8054890e+01,8.5573915e-01
1.8475440e+01,8.5495079e-01
1.8905790e+01,8.5417309e-01
1.9346160e+01,8.5340401e-01
1.9796790e+01,8.5264588e-01
2.0257920e+01,8.5189832e-01
2.0729780e+01,8.5116016e-01
2.1212640e+01,8.5043282e-01
2.1706750e+01,8.4971580e-01
2.2212360e+01,8.4900899e-01
2.2729750e+01,8.4831181e-01
2.3259200e+01,8.4762670e-01
2.3800980e+01,8.4695038e-01
2.4355370e+01,8.4628567e-01
2.4922680e+01,8.4563185e-01
2.5503200e+01,8.4498859e-01
2.6097250e+01,8.4435559e-01
2.6705130e+01,8.4373387e-01
2.7327180e+01,8.4312150e-01
2.7963710e+01,8.4252119e-01
2.8615070e+01,8.4193190e-01
2.9281600e+01,8.4135243e-01
2.9963650e+01,8.4078338e-01
3.0661600e+01,8.4022617e-01
3.1375800e+01,8.3967854e-01
3.2106630e+01,8.3914170e-01
3.2854490e+01,8.3861625e-01
3.3619770e+01,8.3810097e-01
3.4402880e+01,8.3759737e-01
3.5204220e+01,8.3710308e-01
3.6024230e+01,8.3661974e-01
3.6863350e+01,8.3614741e-01
3.7722000e+01,8.3568509e-01
3.8600660e+01,8.3523284e-01
3.9499790e+01,8.3479238e-01
4.0419850e+01,8.3436121e-01
4.1361350e+01,8.3394087e-01
4.2324780e+01,8.3353008e-01
4.3310650e+01,8.3313067e-01
